date,team1,team2,winner,Year,Team,MatchPlayed,MatchWon,Matchlost,,
3/21/2010,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,2017,DDV,14,6,8,,
3/22/2010,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,2017,GLS,14,4,10,,
3/23/2010,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,2017,KXP,14,7,7,,
3/24/2010,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,2017,KTK,0,0,0,,
3/25/2010,Mumbai Indians,Chennai Super Kings,Mumbai Indians,2017,KKR,16,9,7,,
3/26/2010,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,2017,MID,17,12,5,,
3/27/2010,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,2017,PWS,0,0,0,,
3/25/2010,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,2017,RRS,0,0,0,,
3/28/2010,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,2017,RCB,13,3,10,,
3/28/2010,Deccan Chargers,Mumbai Indians,Mumbai Indians,2017,SHD,14,8,6,,
3/29/2010,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,2018,RSP,0,0,0,,
3/30/2010,Mumbai Indians,Kings XI Punjab,Mumbai Indians,2018,CSK,16,11,5,,
3/31/2010,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,2018,DCH,0,0,0,,
3/31/2010,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,2018,DCA,0,0,0,,
4/1/2010,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,2018,DDV,14,5,9,,
4/2/2010,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,2018,GLS,0,0,0,,
4/3/2010,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,2018,KXP,14,6,8,,
4/3/2010,Mumbai Indians,Deccan Chargers,Mumbai Indians,2018,KTK,0,0,0,,
4/4/2010,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,2018,KKR,16,9,7,,
4/4/2010,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,2018,MID,14,6,8,,
4/5/2010,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,2018,PWS,0,0,0,,
4/6/2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,2018,RRS,15,7,8,,
